File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
Dinic_p_0.6_nVertices_2900_maxValue_130.txt,Dinic,0.6,2900,130,2.086,0.422499,0.2635,0.299001,0.357
MPM_p_0.6_nVertices_2900_maxValue_210.txt,MPM,0.6,2900,210,3.809,3.582,3.918,5.7075,4.0555
EK_p_0.6_nVertices_2900_maxValue_210.txt,EK,0.6,2900,210,0,0,0,0,0
Dinic_p_0.6_nVertices_2900_maxValue_210.txt,Dinic,0.6,2900,210,1.0225,0.959501,0.576503,1.4355,0.629499
MPM_p_0.6_nVertices_2900_maxValue_340.txt,MPM,0.6,2900,340,3.8155,5.191,4.896,3.3125,6.3275
EK_p_0.6_nVertices_2900_maxValue_340.txt,EK,0.6,2900,340,0,0,0,0,0
Dinic_p_0.6_nVertices_2900_maxValue_340.txt,Dinic,0.6,2900,340,0.906,1.039,0.4005,0.629501,2.0425
MPM_p_0.6_nVertices_2900_maxValue_500.txt,MPM,0.6,2900,500,3.0845,4.1985,4.0155,4.853,4.4105
EK_p_0.6_nVertices_2900_maxValue_500.txt,EK,0.6,2900,500,0,0,0,0,0
Dinic_p_0.6_nVertices_2900_maxValue_500.txt,Dinic,0.6,2900,500,0.568999,0.671,0.376502,1.0075,0.6355
MPM_p_0.6_nVertices_3200_maxValue_10.txt,MPM,0.6,3200,10,4.8195,4.6295,4.096,3.7205,2.6955
EK_p_0.6_nVertices_3200_maxValue_10.txt,EK,0.6,3200,10,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_10.txt,Dinic,0.6,3200,10,0.4845,0.945499,1.3625,0.822501,1.0455
MPM_p_0.6_nVertices_3200_maxValue_20.txt,MPM,0.6,3200,20,5.643,4.39,4.22,5.335,5.271
EK_p_0.6_nVertices_3200_maxValue_20.txt,EK,0.6,3200,20,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_20.txt,Dinic,0.6,3200,20,1.018,1.814,0.406,0.974999,0.411
MPM_p_0.6_nVertices_3200_maxValue_30.txt,MPM,0.6,3200,30,7.4165,4.4745,5.8105,3.336,5.006
EK_p_0.6_nVertices_3200_maxValue_30.txt,EK,0.6,3200,30,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_30.txt,Dinic,0.6,3200,30,1.1435,0.7925,0.483501,0.414001,0.827
MPM_p_0.6_nVertices_3200_maxValue_50.txt,MPM,0.6,3200,50,6.5215,7.6775,4.897,5.0745,4.617
EK_p_0.6_nVertices_3200_maxValue_50.txt,EK,0.6,3200,50,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_50.txt,Dinic,0.6,3200,50,0.770001,0.618,0.758503,0.861999,1.08
MPM_p_0.6_nVertices_3200_maxValue_80.txt,MPM,0.6,3200,80,4.979,4.598,4.342,5.8995,7.951
EK_p_0.6_nVertices_3200_maxValue_80.txt,EK,0.6,3200,80,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_80.txt,Dinic,0.6,3200,80,1.337,0.4355,1.6675,1.755,1.8215
MPM_p_0.6_nVertices_3200_maxValue_130.txt,MPM,0.6,3200,130,5.8785,6.4075,5.6505,6.7045,5.1675
EK_p_0.6_nVertices_3200_maxValue_130.txt,EK,0.6,3200,130,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_130.txt,Dinic,0.6,3200,130,2.4895,1.4265,0.6725,0.310998,0.666502
MPM_p_0.6_nVertices_3200_maxValue_210.txt,MPM,0.6,3200,210,6.316,9.09,5.179,6.487,8.5125
EK_p_0.6_nVertices_3200_maxValue_210.txt,EK,0.6,3200,210,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_210.txt,Dinic,0.6,3200,210,1.3005,0.908,0.442501,0.955501,1.05
MPM_p_0.6_nVertices_3200_maxValue_340.txt,MPM,0.6,3200,340,5.983,5.212,5.949,8.3475,3.4615
EK_p_0.6_nVertices_3200_maxValue_340.txt,EK,0.6,3200,340,0,0,0,0,0
Dinic_p_0.6_nVertices_3200_maxValue_340.txt,Dinic,0.6,3200,340,0.340001,1.143,1.7545,1.759,0.500999
MPM_p_0.6_nVertices_3200_maxValue_500.txt,MPM,0.6,3200,500,6.114,4.672,8.693,4.465,7.668
