File,Algorithm,P,n_vertices,max_cap,MeanTime
MPM_p_0.37_nVertices_100_maxValue_10.txt,MPM,0.37,100,10,0.0005
EK_p_0.37_nVertices_100_maxValue_10.txt,EK,0.37,100,10,0.0006000000000000001
Dinic_p_0.37_nVertices_100_maxValue_10.txt,Dinic,0.37,100,10,0.0001
MPM_p_0.37_nVertices_100_maxValue_20.txt,MPM,0.37,100,20,0.0005996
EK_p_0.37_nVertices_100_maxValue_20.txt,EK,0.37,100,20,0.0004
Dinic_p_0.37_nVertices_100_maxValue_20.txt,Dinic,0.37,100,20,0.0001
MPM_p_0.37_nVertices_100_maxValue_30.txt,MPM,0.37,100,30,0.00030000000000000003
EK_p_0.37_nVertices_100_maxValue_30.txt,EK,0.37,100,30,0.0006998
Dinic_p_0.37_nVertices_100_maxValue_30.txt,Dinic,0.37,100,30,0.0002
MPM_p_0.37_nVertices_100_maxValue_50.txt,MPM,0.37,100,50,0.00030000000000000003
EK_p_0.37_nVertices_100_maxValue_50.txt,EK,0.37,100,50,0.0006000000000000001
Dinic_p_0.37_nVertices_100_maxValue_50.txt,Dinic,0.37,100,50,0.0002
MPM_p_0.37_nVertices_100_maxValue_80.txt,MPM,0.37,100,80,0.00030020000000000003
EK_p_0.37_nVertices_100_maxValue_80.txt,EK,0.37,100,80,0.0006998
Dinic_p_0.37_nVertices_100_maxValue_80.txt,Dinic,0.37,100,80,0.0001
MPM_p_0.37_nVertices_100_maxValue_130.txt,MPM,0.37,100,130,0.0007
EK_p_0.37_nVertices_100_maxValue_130.txt,EK,0.37,100,130,0.0006002000000000001
Dinic_p_0.37_nVertices_100_maxValue_130.txt,Dinic,0.37,100,130,9.98e-05
MPM_p_0.37_nVertices_100_maxValue_210.txt,MPM,0.37,100,210,0.00030000000000000003
EK_p_0.37_nVertices_100_maxValue_210.txt,EK,0.37,100,210,0.0006002000000000001
Dinic_p_0.37_nVertices_100_maxValue_210.txt,Dinic,0.37,100,210,0.0001
MPM_p_0.37_nVertices_100_maxValue_340.txt,MPM,0.37,100,340,0.0002
