File,Algorithm,P,n_vertices,max_cap,MeanTime
MPM_p_0.75_nVertices_100_maxValue_10.txt,MPM,0.75,100,10,0.0003004
EK_p_0.75_nVertices_100_maxValue_10.txt,EK,0.75,100,10,0.002001
Dinic_p_0.75_nVertices_100_maxValue_10.txt,Dinic,0.75,100,10,0.00010020000000000001
MPM_p_0.75_nVertices_100_maxValue_20.txt,MPM,0.75,100,20,0.0006004000000000001
EK_p_0.75_nVertices_100_maxValue_20.txt,EK,0.75,100,20,0.0019002
Dinic_p_0.75_nVertices_100_maxValue_20.txt,Dinic,0.75,100,20,0.0001
MPM_p_0.75_nVertices_100_maxValue_30.txt,MPM,0.75,100,30,0.0007998000000000001
EK_p_0.75_nVertices_100_maxValue_30.txt,EK,0.75,100,30,0.0024993999999999997
Dinic_p_0.75_nVertices_100_maxValue_30.txt,Dinic,0.75,100,30,0.00030000000000000003
MPM_p_0.75_nVertices_100_maxValue_50.txt,MPM,0.75,100,50,0.0006002000000000001
EK_p_0.75_nVertices_100_maxValue_50.txt,EK,0.75,100,50,0.0017998
Dinic_p_0.75_nVertices_100_maxValue_50.txt,Dinic,0.75,100,50,0.00030020000000000003
MPM_p_0.75_nVertices_100_maxValue_80.txt,MPM,0.75,100,80,0.0005997999999999999
EK_p_0.75_nVertices_100_maxValue_80.txt,EK,0.75,100,80,0.0023002
Dinic_p_0.75_nVertices_100_maxValue_80.txt,Dinic,0.75,100,80,0.00020020000000000004
MPM_p_0.75_nVertices_100_maxValue_130.txt,MPM,0.75,100,130,0.0007995999999999999
EK_p_0.75_nVertices_100_maxValue_130.txt,EK,0.75,100,130,0.0022
Dinic_p_0.75_nVertices_100_maxValue_130.txt,Dinic,0.75,100,130,0.00039979999999999996
MPM_p_0.75_nVertices_100_maxValue_210.txt,MPM,0.75,100,210,0.0007002
EK_p_0.75_nVertices_100_maxValue_210.txt,EK,0.75,100,210,0.0022005999999999996
Dinic_p_0.75_nVertices_100_maxValue_210.txt,Dinic,0.75,100,210,0.00029979999999999997
MPM_p_0.75_nVertices_100_maxValue_340.txt,MPM,0.75,100,340,0.0008004
EK_p_0.75_nVertices_100_maxValue_340.txt,EK,0.75,100,340,0.0023996
Dinic_p_0.75_nVertices_100_maxValue_340.txt,Dinic,0.75,100,340,0.00029959999999999996
MPM_p_0.75_nVertices_100_maxValue_500.txt,MPM,0.75,100,500,0.0005002
EK_p_0.75_nVertices_100_maxValue_500.txt,EK,0.75,100,500,0.0026004
Dinic_p_0.75_nVertices_100_maxValue_500.txt,Dinic,0.75,100,500,0.0001
MPM_p_0.75_nVertices_200_maxValue_10.txt,MPM,0.75,200,10,0.0025002
EK_p_0.75_nVertices_200_maxValue_10.txt,EK,0.75,200,10,0.0196
Dinic_p_0.75_nVertices_200_maxValue_10.txt,Dinic,0.75,200,10,0.001
MPM_p_0.75_nVertices_200_maxValue_20.txt,MPM,0.75,200,20,0.0033994000000000003
EK_p_0.75_nVertices_200_maxValue_20.txt,EK,0.75,200,20,0.022700400000000003
Dinic_p_0.75_nVertices_200_maxValue_20.txt,Dinic,0.75,200,20,0.0006998
MPM_p_0.75_nVertices_200_maxValue_30.txt,MPM,0.75,200,30,0.0024998
EK_p_0.75_nVertices_200_maxValue_30.txt,EK,0.75,200,30,0.021999199999999997
Dinic_p_0.75_nVertices_200_maxValue_30.txt,Dinic,0.75,200,30,0.0008004
MPM_p_0.75_nVertices_200_maxValue_50.txt,MPM,0.75,200,50,0.0027997999999999994
EK_p_0.75_nVertices_200_maxValue_50.txt,EK,0.75,200,50,0.0262
Dinic_p_0.75_nVertices_200_maxValue_50.txt,Dinic,0.75,200,50,0.0009002
MPM_p_0.75_nVertices_200_maxValue_80.txt,MPM,0.75,200,80,0.003
EK_p_0.75_nVertices_200_maxValue_80.txt,EK,0.75,200,80,0.023499600000000002
Dinic_p_0.75_nVertices_200_maxValue_80.txt,Dinic,0.75,200,80,0.0009010000000000001
MPM_p_0.75_nVertices_200_maxValue_130.txt,MPM,0.75,200,130,0.0032002000000000003
EK_p_0.75_nVertices_200_maxValue_130.txt,EK,0.75,200,130,0.023200400000000003
Dinic_p_0.75_nVertices_200_maxValue_130.txt,Dinic,0.75,200,130,0.0009000000000000001
MPM_p_0.75_nVertices_200_maxValue_210.txt,MPM,0.75,200,210,0.0029996000000000003
EK_p_0.75_nVertices_200_maxValue_210.txt,EK,0.75,200,210,0.023000200000000002
Dinic_p_0.75_nVertices_200_maxValue_210.txt,Dinic,0.75,200,210,0.0008
MPM_p_0.75_nVertices_200_maxValue_340.txt,MPM,0.75,200,340,0.0030004
EK_p_0.75_nVertices_200_maxValue_340.txt,EK,0.75,200,340,0.022600000000000002
Dinic_p_0.75_nVertices_200_maxValue_340.txt,Dinic,0.75,200,340,0.0008
MPM_p_0.75_nVertices_200_maxValue_500.txt,MPM,0.75,200,500,0.0024
EK_p_0.75_nVertices_200_maxValue_500.txt,EK,0.75,200,500,0.027199999999999995
Dinic_p_0.75_nVertices_200_maxValue_500.txt,Dinic,0.75,200,500,0.0008002
MPM_p_0.75_nVertices_300_maxValue_10.txt,MPM,0.75,300,10,0.0064002
EK_p_0.75_nVertices_300_maxValue_10.txt,EK,0.75,300,10,0.08199959999999999
Dinic_p_0.75_nVertices_300_maxValue_10.txt,Dinic,0.75,300,10,0.0016006
MPM_p_0.75_nVertices_300_maxValue_20.txt,MPM,0.75,300,20,0.0066998000000000005
